מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
143,50,מגבות נייר 6 יח' מותג הבית,7296073230656,מגבות נייר שופרסל,שופרסל,15/02/2020,9.90,"0.16 ש""ח ל- 1 מטר",,
144,50,מגבות נייר ניקול,188355,מגבות נייר ניקול,ניקול,15/02/2020,10.90,"0.17 ש""ח ל- 1 מטר",,
145,50,מגבות נייר סנו,5427107,מגבות נייר סנו סושי,סנו סושי,15/02/2020,10.90,"0.17 ש""ח ל- 1 מטר",,
146,51,נוזל לניקוי כלים 750 מל מותג הבית,7296073230731,נוזל לניקוי כלים תפוח,שופרסל,15/02/2020,7.50,"1 ש""ח ל- 100 מ""ל",,
147,51,נוזל כלים פיירי,4084500088917,פיירי לימון נוזל לכלים,פיירי,15/02/2020,10.90,"1.68 ש""ח ל- 100 מ""ל",,
148,51,נוזל כלים פלמוליב,2730262,פלמוליב כלים קלאסי ירוק,פלמוליב,15/02/2020,9.90,"1.32 ש""ח ל- 100 מ""ל",,
149,52,אקונומיקה 4 ל' מותג הבית,7296073362630,אקונומיקה מבושמת,שופרסל,15/02/2020,12.90,"0.32 ש""ח ל- 100 מ""ל",,
150,52,אקונומיקה סנט מוריץ,1713853,אקונומיקה מבושמת ס.מוריץ,סנט מוריץ,15/02/2020,9.90,"0.25 ש""ח ל- 100 מ""ל",,
151,52,אקונומיקה פסגה סנו,1791349,אקונומיקה ריחנית פיסגה,פיסגה,15/02/2020,9.90,"0.25 ש""ח ל- 100 מ""ל",,
152,53,אבקת כביסה 2.5 קילו מותג הבית,7296073219118,אבקת כביסה שופרסל,שופרסל,15/02/2020,19.90,"0.8 ש""ח ל- 100 גרם",,
153,53,אקת כביסה קולון/ סוד,7290108201437,אבקת כביסה קולון,קולון,15/02/2020,19.90,"0.8 ש""ח ל- 100 גרם",,
154,53,אבקת כביסה סנו,7290012116537,אבקת כביסה מקסימה מאסק,מקסימה,15/02/2020,25.90,"1.04 ש""ח ל- 100 גרם",,
155,54,מרכך כביסה 4 ל' מותג הבית,7296073231288,מרכך כביסה סגול,שופרסל,15/02/2020,15.90,"0.4 ש""ח ל- 100 מ""ל",,
156,54,מרכך כביסה בדין,342856,מרכך כביסה בדין כחול,בדין,15/02/2020,19.90,"0.5 ש""ח ל- 100 מ""ל",,
157,54,מרכך כביסה סנו,5423734,מרכך כביסה מקסימה אולטרה,מקסימה,15/02/2020,19.90,"0.5 ש""ח ל- 100 מ""ל",,
158,55,נייר טואלט 32 גלילים מותג הבית,7296073272496,נייר טואלט שופרסל,שופרסל,15/02/2020,29.90,"5.22 ש""ח ל- 100 מטר",,
159,55,נייר טואלט 32 גל' מולאט,262031,נייר טואלט מולט,מולט,15/02/2020,29.90,"5.32 ש""ח ל- 100 מטר",,
160,55,נייר טואלט 32 גל' סנו,7290012823602,נייר טואלט סנו סופט לבן,סנו סופט,15/02/2020,29.90,"5.09 ש""ח ל- 100 מטר",,
161,56,נייר טואלט 48 גלילים מותג הבית,7296073241935,נייר טואלט סופר דיל,שופרסל,15/02/2020,39.90,"4.64 ש""ח ל- 100 מטר",,
162,56,נייר טואלט 48 גל' מולאט,262239,נייר טואלט מולט,מולט,15/02/2020,39.90,"4.73 ש""ח ל- 100 מטר",,
163,56,נייר טואלט 48 גל' סנו,7290011598457,נייר טואלט סופט לבן,סנו סופט,15/02/2020,39.90,"4.52 ש""ח ל- 100 מטר",,
164,57,קורנפלקס מותג הבית,7296073150527,קורנפלקס שופרסל,שופרסל,15/02/2020,11.50,"1.53 ש""ח ל- 100 גרם",,
165,57,קרונפלקס תלמה,7290107647755,קורנפלקס של אלופים,תלמה,15/02/2020,15.50,"2.07 ש""ח ל- 100 גרם",,
166,57,קרונפלקס קלוגס,2543237,קורנפלקס קלוגס,קלוגס,15/02/2020,12.90,"1.72 ש""ח ל- 100 גרם",,
167,58,שוקולד מריר מארז 3/ 5 יח' מותג הבית,7296073197478,שוקולד מריר שופרסל,שופרסל,15/02/2020,12.90,"4.3 ש""ח ל- 100 גרם",,
168,58,שוקולד פרה מריר עלית,7290100852576,שוקולד פרה מריר מארז,פרה,15/02/2020,15.20,"5.07 ש""ח ל- 100 גרם",,
169,58,שורולד מריר ורד הגליל מארז 5 יח',7290112491541,שוקולד מריר מארז,ורד הגליל,15/02/2020,16.90,"3.38 ש""ח ל- 100 גרם",,
