מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
128,47,שניצלונים עוף טוב,7290000158105,שניצל עוף מיני דינוז,עוף טוב,2019-02-01 09:47:54,29.90,0.0427,,
129,48,משחת שיניים קולגייט,7290002730811,משחת שיניים ג'ל פסים,קולגייט,2020-01-19 15:01:50,9.90,0.0990,,
130,48,משחת שיניים מרידול,7290107978637,מרידול משחת שיניים 7,לא ידוע,2018-02-25 06:18:24,12.90,0.1720,,
131,48,משחת שיניים אורביטול,7290005425745,מוצר לא נמצא,,,,,,
132,49,משחת שיניים לילדים אלמקס,7290000803067,משחת שיניים לילדים ג,אלמקס,2016-12-16 09:49:06,9.90,0.1320,,
133,49,משחת שיניים לילדים קולגיט,7290006712981,משחת שיניים לילדים ב,קולגייט,2019-07-29 13:56:04,9.80,0.1960,,
134,49,משחת שיניים לילדים אורביטול,7290011765446,משחת שיניים לילדים ב,אורביטול,2016-01-26 14:45:57,6.80,0.1360,,
135,50,מגן תחתון קוטקס,7290000188560,מגן תחתון לארג' קוטק,קוטקס,2016-11-02 15:17:12,18.90,0.3780,,
136,50,מגן תחתון לילי,7290000193472,מגן תחתון נטורל נורמ,לילי,2016-06-03 07:20:00,14.90,0.2483,,
137,50,מגן תחתון אולוויז,4015400564034,אולוויז מגן תחתון לו,אולווייז,2019-09-19 14:58:18,16.80,0.2897,,
138,51,מי פה קולגייט,7290107971751,קולגייט מי פה טוטל כ,קולגייט,2020-02-27 09:17:26,24.90,0.0498,,
139,51,מי פה ליסטרין,3574661363998,מוצר לא נמצא,,,,,,
140,52,גרבר ,7613036880695,מוצר לא נמצא,,,,,,
141,52,גרבר מטרנה,7613033692383,מוצר לא נמצא,,,,,,
142,52,גרבר פרינוק,7290010065745,פרינוק מחית לפתן פיר,פרינוק,2015-05-11 16:06:49,5.50,0.0289,,
143,53,תרכובת מזון לתינוק סימילק,5391523058063,סימילאק אדוונס פלוס,לא ידוע,2018-07-19 07:31:23,67.90,0.0970,,
144,53,נוטרילון,8712400802499,תחליפי חלב אם חלבי נ,נוטרילון,2019-11-05 12:35:21,59.80,0.0747,,
145,53,מטרנה,7290013083661,תחליף חלב אקסטרה קר,מטרנה,2018-02-04 15:59:33,56.90,0.0813,,
146,54,ממרח חמאה יורוספרד,7290108501773,מוצר לא נמצא,,,,,,
147,54,ממרח חמאה אלוויר,3451790550324,מוצר לא נמצא,,,,,,
148,54,ממרח חמאה לורפאק,5740900403239,ממרח לורפק ללא מלח 2,לא ידוע,2018-10-19 06:39:23,16.90,0.0676,,
149,55,מרגרינה בלובנד,7290000110059,מוצר לא נמצא,,,,,,
150,55,מרגרינה מזולה,7290000166414,מוצר לא נמצא,,,,,,
151,56,שמנת לבישול 15% השף הלבן,7290004125721,השף הלבן שמנת עמידה,תנובה,2018-10-04 06:25:58,7.90,0.0316,,
152,56,שמנת לבישול 15% יטבתה,7290105362339,שמנת לבישול 15% 250,יטבתה,2017-01-09 13:02:05,7.50,0.0300,,
153,57,שמנת 38% יטבתה,7290104728310,שמנת להקצפה 38% 250,יטבתה,2019-06-13 10:38:57,5.76,0.0230,,
154,57,שמנת 38% טרה,7290102398508,מוצר לא נמצא,,,,,,
155,57,שמנת 38% השף הלבן,7290000043814,השף הלבן שמנת עמידה,תנובה,2019-06-13 08:30:07,5.76,0.0230,,
156,58,מים מינרלים מי עדן,7290000688732,מים מינרלים מי עדן 6,מי עדן,2016-06-13 11:13:44,10.90,1.2111,,
157,58,מים מינרלים נביעות,7290002331322,מים מינרליים נביעות,נביעות,2018-07-01 16:08:52,10.90,1.2111,,
158,58,מים מינרלים אקווה נובה,7290013038234,מים אקווה נובה 2 ליט,אקווה נובה,2019-01-14 06:29:26,8.90,0.7417,,
159,59,"חומוס 1 ק""ג צבר",7290003727667,"חומוס צבר 1 ק""ג",צבר,2014-08-27 12:14:43,13.90,0.0139,,
160,59,"חומוס 1 ק""ג אחלה ",7290002987963,"סלט חומוס אחלה 1 ק""ג",אחלה,2017-07-03 08:59:21,13.80,13.8000,,
161,59,"חומוס 1 ק""ג מעדני מיקי",7290002014607,מוצר לא נמצא,,,,,,
162,60,כרוב אדום 400 ג' צבר,7290106577541,כרוב אדום מרובע 400,צבר,2013-12-16 20:08:05,11.90,0.0298,,
163,60,כרוב אדום אחלה,7290002825722,סלט כרוב אדום אחלה 5,אחלה,2018-01-21 13:39:27,12.90,0.0258,,
164,61,מטבוחה אחלה,7290010931330,סלט מטבוחה אחלה 500,אחלה,2015-10-07 13:29:55,13.80,0.0276,,
165,61,מטבוחה צבר,7290011800642,רפי כהן סלט מטבוחה מ,רפי כהן,2014-08-17 07:31:41,14.90,0.0373,,
166,61,מטבוחה מעדני  מיקי,7290015642217,מוצר לא נמצא,,,,,,
167,62,מלוואח ינון,7290002735014,מלוואח ינון 800 גרם,קפוא-זן,2013-12-22 09:06:02,13.10,0.0164,,
168,62,מלוואח מעדנות,7290000238036,מלאווח מעדנות 700 גר,מעדנות,2020-04-16 05:56:43,16.90,0.0241,,
169,62,מלוואח שלושת האופים,7290002757139,שלושת האופים מלוואח,שלושת האופים,2020-04-16 05:56:46,13.80,0.0197,,
170,63,צבע לשיער גרניאר ,3600540308603,מוצר לא נמצא,,,,,,
171,63,צבע לשיער פלאטה,3838824127224,"צבעי שיער ""פלטה""",הנקל,2017-05-07 15:49:26,19.90,19.9000,,
172,64,דורדורנט ספריי לאישה דאב,8710908559235,מוצר לא נמצא,,,,,,
173,64,דורדורנט ספריי  לאישה FA,4015000519915,דאודורנט ספריי פה פי,פה,2019-03-24 12:34:41,9.90,0.0495,,
174,64,דורדורנט ספריי לאישה  קרמה,7290013848987,קרמה ספריי מאסק 150,קרמה,2017-08-23 14:18:04,12.50,0.0833,,
175,65,ספיד סטיק ג'ל לגבר של ספיד סטיק,7290103129378,ספיד סטיק גל 5X,ספיד סטיק,2020-05-20 13:04:08,14.90,0.2922,,
176,65,ספיד סטיק ג'ל לגבר ג'ילט,7702018321582,מוצר לא נמצא,,,,,,
177,65,ספיד סטיק ג'ל לגבר קרמה,7290013848420,"דאו קרמה מן גל 70 מ""",קרמה,2018-04-23 11:52:40,14.80,0.2114,,
178,66,המבורגר 400 ג' זוגלובק,7290000530413,המבורגר זהב זוגלובק,זוגלובק,2019-11-03 09:34:16,19.90,0.0497,,
179,66,המבורגר 400 ג' טיבון ויל,7290008344272,המבורגר 100% טיבון ו,טיבון ויל,2018-10-22 07:01:27,19.90,0.0497,,
1,1,מגבונים לחים מארז מותג הבית 6 יח' (רמי לוי 4),7290017197432,מגבונים בייבי ללא בי,לא ידוע,2020-04-12 07:55:47,14.90,3.7250,,
2,1,מגבוני האגיס 4 יח',7290000195537,מגבונים לחים לעור רג,האגיס,2018-11-04 10:50:24,17.80,0.2472,,
3,1,מגבוני פמפרס/טיטולים 4 יח',7290000188782,מגבונים רביעייה פרמי,האגיס,2016-11-30 11:19:45,17.90,4.4750,,
4,2,תחליב רחצה מותג הבית,7290015325806,תחליב רחצה בניחוח קק,לא ידוע,2019-09-03 15:26:42,7.90,0.0105,,
5,2,פינוק,7290100247068,מוצר לא נמצא,,,,,,
6,2,דאב,8712561594608,דאב תחליב רחצה 750 מ,דאב,2016-05-04 09:22:48,19.90,0.0265,,
7,3,ג'ל רחצה מותג הבית,7290015325790,ג'ל רחצה מועשר חוחוב,לא ידוע,2019-09-03 15:26:42,7.90,0.0105,,
8,3,ג'ל רחצה crema,7290013848383,מוצר לא נמצא,,,,,,
9,3,ג'ל רחצה palmolive,7290111936333,פלמוליב ג'ל רחצה מים,לא ידוע,2019-08-22 08:05:21,14.90,0.0000,,
10,4,אל סבון 1 ליטר מותג הבית,7290017197623,מוצר לא נמצא,,,,,,
11,4,אל סבון כיף,7290005424403,מוצר לא נמצא,,,,,,
12,4,אל סבון family,7290001865439,פמלי לקשרי 1ליטר וני,פמילי,2019-03-18 12:01:27,9.90,9.9000,,
13,5,אל סבון מארז מותג הבית,7290108272895,"סבון ידיים 3*500 מ""ל",לא ידוע,2020-04-12 07:55:48,11.50,7.6667,,
14,5,אל סבון כיף מארז,7290005423888,מוצר לא נמצא,,,,,,
15,5,אל סבון family מארז,7290012193170,פמלי א.ס - 1X3מעורב,פמילי,2019-03-18 12:01:27,12.90,0.0258,,
16,6,ג'ל גילוח מותג הבית,7290001072103,מוצר לא נמצא,,,,,,
17,6,ג'ל גילוח ג'ילט,3014260214692,מוצר לא נמצא,,,,,,
18,6,ג'ל גילוח crema,7290011765095,מוצר לא נמצא,,,,,,
19,7,גבינה צהובה פרוסות 200 ג' מותג הבית,7290004256432,מוצר לא נמצא,,,,,,
20,7,נעם 200 ג',7290102394821,נעם גבינה צהובה פרוס,טרה,2018-10-04 06:26:01,15.20,0.0760,,
21,7,עמק 200 ג',7290004122270,עמק גבינה צהובה פרוס,תנובה,2019-06-18 12:54:16,14.90,0.0745,,
