מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
119,42,פתיתים,7296073129448,פתיתים טבעות שופרסל,,15/01/2020,4.50,"0.9 ש""ח ל- 100 גרם",,
120,42,פתיתים אסם,60200,פתיתים אפויים קוסקוס,,15/01/2020,6.90,"1.38 ש""ח ל- 100 גרם",,
121,42,פתיתים סוגת,7290100702628,פתיתים אפויים קוסקוס,,15/01/2020,4.90,"0.98 ש""ח ל- 100 גרם",,
122,43,אורז 1 קילו,7296073286011,אורז פרסי זיפר שופרסל,,15/01/2020,5.90,"0.59 ש""ח ל- 100 גרם",,
123,43,אורז פרסי קלאסי סוגת,211442,אורז פרסי קלאסי סוגת,,15/01/2020,9.90,"0.99 ש""ח ל- 100 גרם",,
124,43,אורז ויליפוד,8901537024014,אורז בסמטי מובחר דווט,,15/01/2020,10.90,"1.09 ש""ח ל- 100 גרם",,
125,44,שקדי מרק 400 גרם,7296073346814,שקדי מרק זיפר,,15/01/2020,7.90,"1.98 ש""ח ל- 100 גרם",,
126,44,שקדי מרק מנה,3514007,שקדי מרק מנה,,15/01/2020,7.90,"1.98 ש""ח ל- 100 גרם",,
127,44,שקדי מרק אסם,63140,שקדי מרק רכיבים טבעיים,,15/01/2020,10.00,"2.5 ש""ח ל- 100 גרם",,
128,45,טחינה גולמית,7296073244875,טחינה גולמית,,15/01/2020,10.00,"2 ש""ח ל- 100 גרם",,
129,45,טחינה גולמית בארכה,112220,טחינה גולמית 100% שומשום,,15/01/2020,11.90,"2.38 ש""ח ל- 100 גרם",,
130,45,טחינה ירושלים,7290010627004,טחינה ירושלים,,15/01/2020,13.90,"2.78 ש""ח ל- 100 גרם",,
131,46,מיונז אמיתי 500 ג',7296073205081,מיונז אמיתי שופרסל,,15/01/2020,7.90,"1.58 ש""ח ל- 100 גרם",,
132,46,מיונז תלמה,111186,מיונז אמיתי תלמה,,15/01/2020,9.90,"1.98 ש""ח ל- 100 גרם",,
133,46,מיונז הלמנס,120836,מיונז הלמנס,,15/01/2020,10.00,"2.54 ש""ח ל- 100 גרם",,
134,47,רסק עגבניות 22% 260 ג,7296073225492,רסק עגבניות מרוכז 22%,,15/01/2020,3.10,"1.19 ש""ח ל- 100 גרם",,
135,47,רסק עגבניות פריניר,2019787,רוטב עגבניות מרוכז מאוד,,15/01/2020,3.60,"1.38 ש""ח ל- 100 גרם",,
136,47,רסם עגבניות פריכוז,207063,רוטב עגבניות פריכוז,,15/01/2020,4.10,"1.58 ש""ח ל- 100 גרם",,
137,48,טונה בשמן קנולה,7296073206682,טונה בשמן קנולה מארז,,15/01/2020,19.90,"3.11 ש""ח ל- 100 גרם",,
138,48,טונה ויליגר,2929642,טונה בשמן,,15/01/2020,19.90,"3.55 ש""ח ל- 100 גרם",,
139,48,טונה סטארקיסט,5287206,טונה  בשמן סטארקיסט,,15/01/2020,22.90,"3.58 ש""ח ל- 100 גרם",,
140,49,דבש טבעי 350 ג',7296073078579,דבש טבעי שופרסל,,15/01/2020,16.90,"4.83 ש""ח ל- 100 גרם",,
141,49,דבש יד מרדכי,2130567,דבש טהור יד מרדכי,,15/01/2020,15.00,"4.29 ש""ח ל- 100 גרם",,
142,49,דבש עמק חפר,2479352,דבש מפרחי בר,,15/01/2020,17.50,"5 ש""ח ל- 100 גרם",,
143,50,מגבות נייר 6 יח',7296073230656,מגבות נייר שופרסל,,15/01/2020,9.90,"0.16 ש""ח ל- 1 מטר",,
144,50,מגבות נייר ניקול,188355,מגבות נייר ניקול,,15/01/2020,11.80,"0.18 ש""ח ל- 1 מטר",,
145,50,מגבות נייר סנו,5427107,מגבות נייר סנו סושי,,15/01/2020,10.90,"0.17 ש""ח ל- 1 מטר",,
146,51,נוזל לניקוי כלים 750 מל,7296073230731,נוזל לניקוי כלים תפוח,,15/01/2020,7.50,"1 ש""ח ל- 100 מ""ל",,
147,51,נוזל כלים פיירי,4084500088917,פיירי לימון נוזל לכלים,,15/01/2020,10.90,"1.68 ש""ח ל- 100 מ""ל",,
148,51,נוזל כלים פלמוליב,2730262,פלמוליב כלים קלאסי ירוק,,15/01/2020,9.90,"1.32 ש""ח ל- 100 מ""ל",,
149,52,אקונומיקה 4 ל',7296073362630,אקונומיקה מבושמת,,15/01/2020,12.90,"0.32 ש""ח ל- 100 מ""ל",,
150,52,אקונומיקה סנט מוריץ,1713853,אקונומיקה מבושמת ס.מוריץ,,15/01/2020,9.90,"0.25 ש""ח ל- 100 מ""ל",,
151,52,אקונומיקה פסגה סנו,1791349,אקונומיקה ריחנית פיסגה,,15/01/2020,9.90,"0.25 ש""ח ל- 100 מ""ל",,
152,53,אבקת כביסה 2.5 קילו,7296073219118,אבקת כביסה שופרסל,,15/01/2020,19.90,"0.8 ש""ח ל- 100 גרם",,
153,53,אקת כביסה קולון,7290108201437,אבקת כביסה קולון,,15/01/2020,19.90,"0.8 ש""ח ל- 100 גרם",,
154,53,אבקת כביסה סנו,7290012116537,אבקת כביסה מקסימה מאסק,,15/01/2020,25.90,"1.04 ש""ח ל- 100 גרם",,
155,54,מרכך כביסה 4 ל',7296073231288,מרכך כביסה סגול,,15/01/2020,15.90,"0.4 ש""ח ל- 100 מ""ל",,
156,54,מרכך כביסה בדין,342856,מרכך כביסה בדין כחול,,15/01/2020,19.90,"0.5 ש""ח ל- 100 מ""ל",,
157,54,מרכך כביסה סנו,5423734,מרכך כביסה מקסימה אולטרה,,15/01/2020,19.90,"0.5 ש""ח ל- 100 מ""ל",,
158,55,נייר טואלט 32 גלילים,7296073272496,נייר טואלט שופרסל,,15/01/2020,29.90,"5.22 ש""ח ל- 100 מטר",,
159,55,נייר טואלט 32 גל' מולאט,262031,נייר טואלט מולט,,15/01/2020,29.90,"5.32 ש""ח ל- 100 מטר",,
160,55,נייר טואלט 32 גל' סנו,7290012823602,נייר טואלט סנו סופט לבן,,15/01/2020,29.90,"5.09 ש""ח ל- 100 מטר",,
161,56,נייר טואלט 48 גלילים,7296073241935,נייר טואלט סופר דיל,,15/01/2020,39.90,"4.64 ש""ח ל- 100 מטר",,
162,56,נייר טואלט 48 גל' מולאט,262239,נייר טואלט מולט,,15/01/2020,39.90,"4.73 ש""ח ל- 100 מטר",,
163,56,נייר טואלט 48 גל' סנו,7290011598457,נייר טואלט סופט לבן,,15/01/2020,39.90,"4.52 ש""ח ל- 100 מטר",,
164,57,קורנפלקס,7296073150527,קורנפלקס שופרסל,,15/01/2020,11.50,"1.53 ש""ח ל- 100 גרם",,
165,57,קרונפלקס תלמה,7290107647755,קורנפלקס של אלופים,,15/01/2020,15.50,"2.07 ש""ח ל- 100 גרם",,
166,57,קרונפלקס קלוגס,2543237,קורנפלקס קלוגס,,15/01/2020,15.90,"2.12 ש""ח ל- 100 גרם",,
167,58,שוקולד מריר מארז 3 יח',7296073197478,שוקולד מריר שופרסל,,15/01/2020,10.00,"3.33 ש""ח ל- 100 גרם",,
168,58,שוקולד פרה מריר עלית,7290100852576,שוקולד פרה מריר מארז,,15/01/2020,15.20,"5.07 ש""ח ל- 100 גרם",,
169,58,שוקולד מריר ורד הגליל מארז 5 יח',7290112491541,שוקולד מריר מארז,,15/01/2020,16.90,"3.38 ש""ח ל- 100 גרם",,
170,59,פופקורן למיקרו,7296073091189,פופקורן למיקרו טעם חמאה,,15/01/2020,13.50,"2.25 ש""ח ל- 100 גרם",,
171,59,פופקורן פופ-סטאר,420332,פופקורן בטעם חמאה למיקרו,,15/01/2020,10.00,"2 ש""ח ל- 100 גרם",,
172,59,פופקורן הוט-פופ,5701932026971,הוטפופ בטעם חמאה,,15/01/2020,12.90,"2.15 ש""ח ל- 100 גרם",,
173,60,וופלים 500 ג',7296073220275,ופלים שוקולד שופרסל,,15/01/2020,8.90,"1.78 ש""ח ל- 100 גרם",,
174,60,וופלים עלית,174099,בפלות בטעם שוקולד,,15/01/2020,12.40,"2.48 ש""ח ל- 100 גרם",,
175,61,פתי בר 500 ג',7296073218753,פתי בר שופרסל,,15/01/2020,8.90,"1.78 ש""ח ל- 100 גרם",,
176,61,פתי בר אסם,74184,ביסקוויט פתי בר אסם,,15/01/2020,10.90,"2.18 ש""ח ל- 100 גרם",,
177,61,פתי בר עלית,1813881,פתי בר בטעם חמאה,,15/01/2020,9.90,"1.98 ש""ח ל- 100 גרם",,
1,1,מגבונים לחים מארז 6 יח',7296073277255,מגבונים לחים מארז,שופרסל,15/01/2020,18.90,"0.04 ש""ח ל- 1 יחידה",,
2,1,מגבוני האגיס 4 יח',195773,מגבוני האגיס אלוורה,האגיס,15/01/2020,12.90,"0.05 ש""ח ל- 1 יחידה",,
3,1,מגבוני פמפרס פרש 4 יח',8001841077949,מגבוני פמפרס פרש מארז,פמפרס,15/01/2020,16.90,"0.08 ש""ח ל- 1 יחידה",,
1,1,מגבונים לחים מארז 6 יח',7296073277255,מגבונים לחים מארז,שופרסל,15/01/2020,18.90,"0.04 ש""ח ל- 1 יחידה",,
2,1,מגבוני האגיס 4 יח',195773,מגבוני האגיס אלוורה,האגיס,15/01/2020,12.90,"0.05 ש""ח ל- 1 יחידה",,
3,1,מגבוני פמפרס פרש 4 יח',8001841077949,מגבוני פמפרס פרש מארז,פמפרס,15/01/2020,16.90,"0.08 ש""ח ל- 1 יחידה",,
